Date,Open,High,Low,Close,Adj Close,Volume
5/3/2018,860,860,825,840,816.697327,41029900
5/4/2018,840,840,820,830,806.974731,27663100
5/7/2018,830,845,810,810,787.529541,34347200
5/8/2018,815,815,785,790,768.084412,38955100
5/9/2018,800,810,775,805,782.668335,31952100
5/10/2018,805,805,805,805,782.668335,0
5/11/2018,815,820,800,810,787.529541,21166000
5/14/2018,805,825,785,815,792.390869,52437900
5/15/2018,825,830,805,820,797.252136,35206800
5/16/2018,815,825,805,810,787.529541,43438700
5/17/2018,815,830,810,825,802.113464,30909700
5/18/2018,835,865,825,850,826.419922,68215100
5/21/2018,860,890,845,880,855.587646,90967600
5/22/2018,880,885,845,845,821.558655,62235400
5/23/2018,840,860,835,845,821.558655,28834200
5/24/2018,845,885,840,885,860.448975,63594700
5/25/2018,890,900,865,870,845.865051,50343600
5/28/2018,870,870,850,855,831.281189,28157100
5/29/2018,855,855,855,855,831.281189,0
5/30/2018,850,865,840,850,826.419922,33098900
5/31/2018,860,870,850,865,841.003845,43953700
6/1/2018,865,865,865,865,841.003845,0
6/4/2018,895,895,870,880,855.587646,62291200
6/5/2018,880,895,870,885,860.448975,60110800
6/6/2018,895,1015,895,995,967.397461,508895400
6/7/2018,1005,1005,935,945,918.784546,275452400
6/8/2018,945,955,905,905,879.894165,200362500
6/11/2018,905,905,905,905,879.894165,0
6/12/2018,905,905,905,905,879.894165,0
6/13/2018,905,905,905,905,879.894165,0
6/14/2018,905,905,905,905,879.894165,0
6/15/2018,905,905,905,905,879.894165,0
6/18/2018,905,905,905,905,879.894165,0
6/19/2018,905,905,905,905,879.894165,0
6/20/2018,890,895,855,880,855.587646,64935900
6/21/2018,880,905,875,890,865.310242,52368400
6/22/2018,900,910,880,910,884.755432,42965100
6/25/2018,925,925,880,890,865.310242,91154400
6/26/2018,880,895,865,870,845.865051,54919100
6/27/2018,875,880,825,840,816.697327,66853300
6/28/2018,840,850,805,835,811.83606,50855300
6/29/2018,850,890,825,890,865.310242,46732000
7/2/2018,880,880,810,820,797.252136,55488600
7/3/2018,830,835,795,800,777.806946,56216500
7/4/2018,795,815,765,805,782.668335,43947900
7/5/2018,805,805,775,800,777.806946,47671200
7/6/2018,800,810,780,780,758.361816,34218400
7/9/2018,790,810,790,800,777.806946,39966000
