Date,Open,High,Low,Close,Adj Close,Volume
7/3/2018,2530,2560,2470,2490,2432.750977,6862100
7/4/2018,2470,2490,2300,2360,2305.73999,23853700
7/5/2018,2340,2490,2320,2410,2354.590332,13741300
7/6/2018,2420,2500,2380,2450,2393.670654,4077000
7/9/2018,2450,2650,2440,2620,2559.762207,16784600
7/10/2018,2640,2690,2600,2670,2608.612549,10272100
7/11/2018,2670,2680,2600,2650,2589.072266,9753400
7/12/2018,2650,2850,2640,2790,2725.853516,12865400
7/13/2018,2800,2840,2790,2790,2725.853516,6060200
7/16/2018,2790,2820,2670,2680,2618.382568,8230000
7/17/2018,2680,2740,2610,2730,2667.233154,8886000
7/18/2018,2760,2960,2740,2840,2774.704102,15362500
7/19/2018,2870,2940,2760,2800,2735.623779,17674200
7/20/2018,2800,2890,2800,2850,2784.473877,9439800
7/23/2018,2870,2980,2850,2980,2911.485107,10532600
7/24/2018,2990,3070,2930,2980,2911.485107,13567800
7/25/2018,2970,2970,2860,2870,2804.014404,12412100
7/26/2018,2900,2920,2800,2830,2764.933838,10838000
7/27/2018,2850,2890,2800,2880,2813.78418,5143800
7/30/2018,2900,2930,2800,2820,2755.163818,9288400
7/31/2018,2800,2800,2700,2750,2686.773193,21364700
8/1/2018,2790,2790,2700,2730,2667.233154,15953400
8/2/2018,2730,2790,2720,2730,2667.233154,5633200
8/3/2018,2730,2760,2720,2730,2667.233154,7399200
8/6/2018,2760,2850,2720,2850,2784.473877,17878400
8/7/2018,2870,3080,2860,3050,2979.875732,37255300
8/8/2018,3080,3080,2990,3050,2979.875732,9554100
8/9/2018,3050,3170,3050,3160,3087.34668,15917200
8/10/2018,3180,3190,3060,3070,2999.416016,5235500
8/13/2018,3030,3030,2820,2850,2784.473877,17348500
8/14/2018,2840,2840,2720,2730,2667.233154,29144200
8/15/2018,2730,2920,2640,2920,2852.864502,22130500
8/16/2018,2910,2910,2760,2890,2823.554443,7460900
8/17/2018,2890,2890,2890,2890,2823.554443,0
